question_id,accuracy_a,accuracy_b,accuracy_delta_b_vs_a,hallucination_a,hallucination_b,latency_a,latency_b,tokens_in_a,tokens_in_b,context_chars_a,context_chars_b,ccr_context_chars_b,ccr_tokens_est_b,accuracy_c,accuracy_delta_c_vs_a,accuracy_delta_c_vs_b,hallucination_c,latency_c,tokens_in_c,context_chars_c,ccr_context_chars_c,ccr_tokens_est_c
MA01,1,1,0,false,false,7984,11026,87756,982,320000,3281,97.5312404754648,97.44214372716199,2,1,1,false,18709,21899,79833,4.008367467087545,4.008216844531289
MA02,1,2,1,false,false,14435,3649,87756,1078,320000,3504,91.32420091324201,91.32420091324201,2,1,0,false,23431,22812,80000,4,4
MA03,1,3,2,false,false,15765,8838,87759,3124,320000,10647,30.055414670799287,30.05259203606311,1,0,-2,false,4973,21675,80000,4,4
MA04,3,2,-1,false,false,4645,5556,87757,2830,320000,9646,33.17437279701431,33.16749585406302,3,0,1,false,2088,22070,80000,4,4
MA05,2,2,0,false,false,9043,6011,87759,985,320000,3281,97.5312404754648,97.44214372716199,1,-1,-1,false,6952,21066,79813,4.009371906832221,4.009221208780194
MA06,2,1,-1,false,false,19877,4919,87753,915,320000,2778,115.19078473722102,115.10791366906474,2,0,1,false,8239,21077,80000,4,4
MA07,1,1,0,false,true,29202,6840,87756,1402,320000,4309,74.26317010907403,74.21150278293135,1,0,0,false,35020,20503,75312,4.248990864669641,4.248990864669641
MA08,1,1,0,false,false,19436,13354,87755,1112,320000,3674,87.09853021230266,87.05114254624591,1,0,0,false,8188,21490,77999,4.102616700214106,4.102564102564102
MA09,1,1,0,true,true,14398,6178,87756,1006,320000,3319,96.41458270563423,96.3855421686747,1,0,0,false,13763,20213,72049,4.441421810156976,4.441236884472326
MA10,1,3,2,true,false,11110,2011,87756,1078,320000,3504,91.32420091324201,91.32420091324201,3,2,0,false,2297,20716,76013,4.209806217357557,4.209640075773521
MA11,1,3,2,true,false,11999,5871,87756,2983,320000,9826,32.56665988194586,32.56003256003256,1,0,-2,true,8434,20332,77768,4.114803003806193,4.114803003806193
MA12,2,1,-1,false,false,15171,6824,87757,1705,320000,5868,54.53306066803,54.53306066803,2,0,1,false,12401,21717,80000,4,4
MA13,0,1,1,false,true,1901,5427,87754,1159,320000,4079,78.45060063741113,78.43137254901961,1,1,0,true,2805,21449,80000,4,4
MA14,1,1,0,true,true,18619,2526,87755,3765,320000,12834,24.933769674302635,24.929884699283267,1,0,0,false,16490,21846,80000,4,4
MA15,2,3,1,false,false,18747,3208,87756,2491,320000,8388,38.14973772055317,38.14973772055317,2,0,-1,false,5801,17776,65360,4.8959608323133414,4.8959608323133414
MA16,2,2,0,false,false,13997,3512,87755,2288,320000,7939,40.30734349414284,40.30226700251889,2,0,0,false,4472,17327,63858,5.0111184189921385,5.010961478233636
MA17,2,3,1,false,false,23001,3024,87754,2384,320000,7908,40.46535154274153,40.46535154274153,2,0,-1,false,11114,21584,80000,4,4
MA18,1,1,0,false,false,18246,11694,87753,1053,320000,3599,88.91358710752986,88.88888888888889,1,0,0,false,12131,20733,77031,4.154171697108956,4.154117769238758
MA19,1,2,1,false,true,13352,3634,87756,2062,320000,7103,45.05138673799803,45.04504504504504,1,0,-1,false,6983,21420,80000,4,4
MA20,1,1,0,false,false,5009,3151,87753,1197,320000,3860,82.90155440414507,82.90155440414507,0,-1,-1,true,9819,19035,70354,4.548426528697728,4.54829723122406
MA21,2,2,0,false,false,11220,8160,87755,1827,320000,6059,52.81399570886285,52.805280528052805,3,1,1,false,17730,21006,79683,4.015913055482349,4.015862657497114
MA22,1,1,0,false,false,7144,11993,87755,1112,320000,3674,87.09853021230266,87.05114254624591,1,0,0,false,28764,20350,73405,4.359376064300797,4.3591979075850045
MA23,2,3,1,false,false,6039,2776,87755,2006,320000,6857,46.66763890914394,46.647230320699705,1,-1,-2,false,10551,21730,80000,4,4
MA24,2,2,0,false,false,2814,2711,87756,1704,320000,5868,54.53306066803,54.53306066803,1,-1,-1,true,17501,21426,80000,4,4
MA25,2,2,0,false,false,4199,1090,87756,2408,320000,7813,40.95737872776142,40.941658137154555,1,-1,-1,false,8892,19863,74056,4.321054337258291,4.321054337258291
MA26,1,1,0,false,false,2518,3159,87754,2683,320000,9385,34.096963239211505,34.08606731998296,1,0,0,false,9632,21249,80000,4,4
MA27,1,3,2,true,false,3472,2553,87754,1988,320000,6918,46.25614339404452,46.24277456647399,1,0,-2,false,5867,21432,78546,4.074045782089477,4.073942048174365
MA28,2,1,-1,false,true,2103,1895,87754,1957,320000,6452,49.59702417854929,49.59702417854929,0,-2,-1,false,9579,21091,80000,4,4
MA29,3,1,-2,false,false,10141,3270,87757,3334,320000,11654,27.45838338767805,27.45367192862045,3,0,2,false,14174,21885,80000,4,4
MA30,0,0,0,true,true,4384,4653,87753,1022,320000,3234,98.94867037724181,98.8875154511743,0,0,0,false,9214,22199,80000,4,4
MA31,0,0,0,true,true,7069,7329,87756,2139,320000,7418,43.13831221353465,43.1266846361186,0,0,0,false,11581,21903,79456,4.027386226339106,4.027386226339106
MA32,1,1,0,false,false,11606,10830,87758,1763,320000,5508,58.09731299927378,58.09731299927378,0,-1,-1,true,5072,22239,80000,4,4
MA33,2,2,0,false,false,6554,2898,87754,2246,320000,7087,45.15309722026245,45.146726862302486,1,-1,-1,false,4866,21003,80000,4,4
MA34,1,3,2,false,false,2945,7981,87756,3121,320000,10647,30.055414670799287,30.05259203606311,3,2,0,false,8490,20738,76334,4.192103125736893,4.191993292810731
MA35,2,2,0,false,false,11447,1850,87756,2611,320000,9067,35.292820116907464,35.288928098809,2,0,0,false,11810,21810,80000,4,4
