question_id,tokens_in_a,tokens_out_a,cost_usd_a,tokens_in_b,tokens_out_b,cost_usd_b,tokens_in_c,tokens_out_c,cost_usd_c,ccr_in_b,ccr_in_c
MA01,88113,278,0.01338375,13097,479,0.00225195,21779,204,0.00338925,6.72772390623807,4.045778043069012
MA02,88113,450,0.01348695,9667,348,0.0016588500000000001,22489,567,0.00371355,9.114823626771491,3.918048823869447
MA03,88116,329,0.0134148,12831,308,0.00210945,21609,170,0.00334335,6.867430441898527,4.077745383867833
MA04,88114,142,0.0133023,9906,189,0.0015993,21763,111,0.00333105,8.89501312335958,4.0487984193355695
MA05,88116,240,0.013361399999999999,13100,254,0.0021174,20903,225,0.0032704500000000003,6.726412213740458,4.215471463426303
MA06,88110,385,0.0134475,6216,405,0.0011754,21021,380,0.00338115,14.174710424710424,4.191522762951334
MA07,88113,537,0.01353915,7522,560,0.0014643,20715,378,0.0033340500000000003,11.714038819462909,4.253584359160029
MA08,88112,438,0.0134796,6150,430,0.0011805,21676,512,0.0035586000000000003,14.327154471544716,4.064956634065326
MA09,88113,271,0.01337955,10275,201,0.0016618499999999999,21978,127,0.0033729,8.575474452554744,4.009145509145509
MA10,88113,408,0.01346175,9667,70,0.00149205,20779,86,0.0031684499999999997,9.114823626771491,4.240483180133789
MA11,88113,196,0.01333455,13837,200,0.0021955499999999997,20523,242,0.0032236499999999998,6.367926573679266,4.29337816108756
MA12,88114,245,0.013364099999999999,9668,202,0.0015713999999999997,21584,270,0.0033995999999999996,9.113984278030616,4.082375833951075
MA13,88111,234,0.013357049999999999,14210,217,0.0022617,21455,247,0.0033664499999999996,6.200633356790992,4.106781635982289
MA14,88112,315,0.013405799999999999,9891,362,0.00170085,21769,269,0.0034267499999999997,8.908300475179455,4.047590610501171
MA15,88113,136,0.01329855,16783,94,0.0025738499999999995,17829,187,0.00278655,5.250134064231663,4.942116776039038
MA16,88112,95,0.013273799999999999,16963,164,0.0026428499999999995,17380,114,0.0026754,5.194364204444969,5.069735327963176
MA17,88111,364,0.013435049999999999,12658,413,0.0021465,21252,250,0.0033377999999999997,6.9608942960973295,4.146009787314135
MA18,88110,386,0.0134481,5207,504,0.00108345,21374,355,0.0034191,16.92145189168427,4.122298119210256
MA19,88113,348,0.01342575,14805,280,0.0023887500000000002,21598,349,0.0034491,5.9515704154002025,4.07968330400963
MA20,88110,123,0.0132903,16961,163,0.0026419499999999997,19176,218,0.0030072,5.194858793703202,4.594806007509387
MA21,88112,537,0.013538999999999999,11349,377,0.0019285499999999998,20856,334,0.0033288,7.763855846330073,4.224779439969313
MA22,88112,317,0.013406999999999999,6150,99,0.0009819,20814,154,0.0032144999999999995,14.327154471544716,4.233304506582108
MA23,88112,276,0.0133824,18991,266,0.00300825,21598,232,0.0033789,4.639671423305776,4.079637003426243
MA24,88113,104,0.01327935,9667,103,0.0015118500000000001,21138,227,0.0033068999999999998,9.114823626771491,4.168464376951462
MA25,88113,79,0.01326435,18928,173,0.002943,20014,419,0.0032535000000000003,4.655166948436179,4.402568202258419
MA26,88111,106,0.013280249999999999,7410,140,0.0011955,21152,136,0.0032543999999999997,11.890823211875844,4.1656108169440245
MA27,88111,169,0.013318049999999998,15411,148,0.0024004499999999997,21357,176,0.00330915,5.717409642463176,4.125626258369621
MA28,88111,33,0.013236449999999999,12296,110,0.0019104,21065,45,0.00318675,7.165826284970723,4.182815096131023
MA29,88114,451,0.013487699999999998,11870,54,0.0018128999999999999,21780,335,0.0034679999999999997,7.423251895534962,4.045638200183655
MA30,88110,154,0.013308899999999999,1022,207,0.00027749999999999997,22018,40,0.0033267,86.2133072407045,4.001725860659461
MA31,88113,119,0.013288349999999999,8642,371,0.0015189000000000001,21867,65,0.00331905,10.195903725989353,4.02949650157772
MA32,88115,695,0.01363425,1763,976,0.00085005,22046,327,0.0035031,49.98014747589336,3.996870180531616
MA33,88111,255,0.013369649999999999,13667,223,0.0021838499999999998,20861,285,0.0033001500000000004,6.446989097826882,4.223718901299075
MA34,88113,120,0.013288949999999999,12828,123,0.001998,21593,150,0.00332895,6.868802619270346,4.080627981290233
MA35,88113,319,0.01340835,7405,257,0.00126495,21765,230,0.00340275,11.899122214719783,4.048380427291523
MA36,88114,340,0.013421099999999998,9334,502,0.0017013,18969,318,0.00303615,9.440111420612814,4.6451578891876215
MA37,88115,494,0.01351365,9335,405,0.0016432499999999997,21811,454,0.00354405,9.439207284413497,4.039933978267847
MA38,88114,157,0.013311299999999998,7967,102,0.00125625,21348,145,0.0032891999999999995,11.059871971884021,4.1275060895634255
MA39,88115,120,0.013289249999999999,7968,93,0.0012509999999999997,21305,52,0.00322695,11.058609437751004,4.1358835954001405
MA40,88114,242,0.013362299999999999,9334,296,0.0015777,19642,315,0.0031352999999999997,9.440111420612814,4.48599938906425
MA41,88114,339,0.013420499999999998,10276,174,0.0016458,18943,56,0.00287505,8.574737251848969,4.651533548012458
MA42,88116,25,0.013232399999999998,9670,25,0.0014655,20278,25,0.0030567,9.112306101344364,4.345398954532005
MA43,88113,207,0.01334115,9667,213,0.00157785,19245,374,0.00311115,9.114823626771491,4.5784879189399845
MA44,88113,248,0.01336575,7966,303,0.0013767,21539,324,0.00342525,11.06113482299774,4.0908584428246435
MA45,88115,404,0.01345965,9335,330,0.0015982499999999998,21302,330,0.0033933,9.439207284413497,4.136466059524928
