question_id,accuracy_a,accuracy_b,accuracy_delta_b_vs_a,hallucination_a,hallucination_b,latency_a,latency_b,tokens_in_a,tokens_in_b,context_chars_a,context_chars_b,ccr_context_chars_b,ccr_tokens_est_b
MA01,1,2,1,false,false,27081,10598,88113,13097,320000,47718,6.706064797351105,6.705783738474434
MA02,2,2,0,false,false,20552,6563,88113,9667,320000,31831,10.05309289686155,10.052777079668259
MA03,1,2,1,false,false,22609,6376,88116,12831,320000,46975,6.812134113890367,6.8119891008174385
MA04,2,2,0,true,false,11252,5550,88114,9906,320000,36167,8.847844720325158,8.847600088476002
MA05,2,3,1,false,false,6134,4100,88116,13100,320000,47718,6.706064797351105,6.705783738474434
MA06,1,2,1,false,false,6556,6813,88110,6216,320000,23052,13.881658858233559,13.881658858233559
MA07,1,1,0,false,true,16395,9094,88113,7522,320000,25038,12.78057352823708,12.779552715654953
MA08,1,1,0,false,false,11810,6647,88112,6150,320000,20315,15.751907457543687,15.751132112620594
MA09,1,1,0,false,false,6697,4335,88113,10275,320000,37255,8.589451080391894,8.589220528237062
MA10,1,3,2,true,false,8965,2058,88113,9667,320000,31831,10.05309289686155,10.052777079668259
