question_id,tokens_in_a,tokens_out_a,cost_usd_a,tokens_in_b,tokens_out_b,cost_usd_b,tokens_in_c,tokens_out_c,cost_usd_c,ccr_in_b,ccr_in_c
NV01,27626,104,0.0042063,2896,153,0.0005262,8242,52,0.0012675,9.539364640883978,3.3518563455471972
NV02,27626,50,0.0041738999999999995,2158,87,0.00037590000000000003,14027,148,0.0021928499999999997,12.801668211306765,1.9694874171241177
NV03,27628,222,0.0042774,2266,259,0.0004953,14174,31,0.0021447000000000003,12.192409532215358,1.9492027656272048
NV04,27630,325,0.0043395,2555,235,0.00052425,12366,303,0.0020367000000000002,10.814090019569472,2.2343522561863174
NV05,27626,185,0.0042549,1805,186,0.00038235,12481,273,0.00203595,15.305263157894737,2.2134444355420237
NV06,27625,14,0.00415215,1461,19,0.00023055000000000002,16167,20,0.00243705,18.908281998631075,1.7087276550998949
NV07,27630,76,0.0041900999999999996,2562,209,0.0005097000000000001,15044,129,0.002334,10.784543325526933,1.8366126030311087
NV08,27629,236,0.00428595,1277,35,0.00021255,13205,184,0.00209115,21.635865309318717,2.092313517606967
NV09,27627,12,0.0041512499999999996,2186,15,0.0003369,14134,16,0.0021297,12.63815187557182,1.95464836564313
NV10,27625,261,0.00430035,2000,141,0.00038459999999999997,9097,212,0.0014917499999999998,13.8125,3.0367154006815436
NV11,27626,110,0.0042099,2001,33,0.00031995,14705,34,0.0022261499999999997,13.806096951524237,1.8786807208432506
NV12,27625,118,0.00421455,1887,123,0.00035685,13958,298,0.0022724999999999998,14.63963963963964,1.9791517409370971
NV13,27624,140,0.0042276,1750,118,0.00033329999999999997,8714,233,0.0014468999999999999,15.785142857142857,3.1700711498737664
NV14,27627,31,0.0041626499999999995,758,27,0.00012989999999999999,13025,88,0.0020065499999999997,36.44722955145119,2.1210748560460653
NV15,27626,73,0.0041877,1752,51,0.0002934,9384,51,0.0014382,15.768264840182649,2.9439471440750213
NV16,27624,202,0.0042648,2070,235,0.00045149999999999997,12915,245,0.0020842499999999997,13.344927536231884,2.1389082462253195
NV17,27627,232,0.00428325,2073,155,0.00040395,8161,303,0.00140595,13.327062228654125,3.3852469060164196
NV18,27629,99,0.00420375,986,48,0.00017669999999999999,12007,60,0.00183705,28.02129817444219,2.301074373282252
NV19,27625,176,0.00424935,1816,29,0.00028979999999999994,9961,239,0.0016375499999999998,15.212004405286343,2.773315932135328
NV20,27628,87,0.0041963999999999994,2560,39,0.00040740000000000004,18116,87,0.0027696,10.7921875,1.5250607198056967
NV21,27625,40,0.00416775,2557,41,0.00040815,15257,30,0.0023065499999999997,10.803676183026985,1.8106442944222325
NV22,27624,37,0.0041658,3358,122,0.0005769,12177,43,0.00185235,8.2263251935676,2.2685390490268538
NV23,27628,190,0.0042582,2560,25,0.000399,8429,275,0.00142935,10.7921875,3.277731640764029
NV24,27626,357,0.0043581,2156,57,0.0003576,10512,317,0.001767,12.813543599257885,2.6280441400304415
NV25,27626,435,0.0044049,1161,167,0.00027435,8738,30,0.0013287,23.795004306632215,3.161593041886015
NV26,27632,239,0.0042882,2162,43,0.00035009999999999994,9426,216,0.0015435,12.780758556891767,2.9314661574368768
NV27,27627,39,0.00416745,2265,43,0.00036554999999999997,9593,42,0.00146415,12.197350993377484,2.8799124361513604
NV28,27628,163,0.004242,1464,166,0.0003192,15154,227,0.0024093,18.871584699453553,1.8231490035634157
NV29,27626,81,0.0041925,1558,66,0.0002733,10878,37,0.0016539,17.73170731707317,2.5396212539069682
NV30,27625,39,0.00416715,1461,38,0.00024195000000000003,12787,117,0.00198825,18.908281998631075,2.1603972784859624
NV31,27625,25,0.00415875,1557,98,0.00029235,10208,266,0.0016908,17.742453436095055,2.706210815047022
NV32,27626,33,0.0041637,1995,343,0.0005050499999999999,13267,357,0.0022042499999999996,13.847619047619048,2.0823094897113137
NV33,27627,67,0.00418425,2109,125,0.00039135,12795,33,0.0019390499999999999,13.099573257467995,2.159202813599062
NV34,27628,209,0.0042696,2187,113,0.00039585,11751,27,0.0017788499999999998,12.632830361225423,2.3511190536975577
NV35,27629,48,0.00417315,1277,22,0.00020475,11997,31,0.00181815,21.635865309318717,2.302992414770359
NV36,27626,211,0.0042705,2185,37,0.00034994999999999997,14839,155,0.00231885,12.643478260869566,1.8617157490396927
NV37,27625,46,0.00417135,1751,41,0.00028724999999999996,9222,153,0.0014750999999999998,15.776699029126213,2.995554109737584
NV38,27625,31,0.0041623499999999996,1066,28,0.0001767,10762,85,0.0016653000000000002,25.914634146341463,2.5669020628136034
NV39,27627,85,0.00419505,2157,82,0.00037275,12176,156,0.0019199999999999998,12.808066759388039,2.268971747700394
NV40,27626,158,0.0042387,3356,31,0.000522,10847,318,0.0018178500000000002,8.231823599523242,2.5468793214713745
NV41,27627,111,0.00421065,2268,35,0.0003612,8306,154,0.0013383,12.181216931216932,3.326149771249699
NV42,27637,141,0.004230149999999999,3473,245,0.0006679499999999999,9041,99,0.00141555,7.957673481140224,3.0568521181285258
