question_id,tokens_in_a,tokens_out_a,cost_usd_a,tokens_in_b,tokens_out_b,cost_usd_b,tokens_in_c,tokens_out_c,cost_usd_c,ccr_in_b,ccr_in_c
OL01,81227,231,0.012322649999999997,715,131,0.00018585,6772,93,0.0010716,113.60419580419581,11.994536326048435
OL02,81229,187,0.012296549999999998,717,51,0.00013815,7649,101,0.0012079500000000002,113.29009762900976,10.619558112171525
OL03,81229,53,0.012216149999999999,717,19,0.00011895,10657,79,0.00164595,113.29009762900976,7.622126301961153
OL04,81231,43,0.01221045,719,35,0.00012885000000000001,8500,77,0.0013212,112.97774687065369,9.556588235294118
OL05,81229,36,0.012205949999999998,705,104,0.00016815,11832,120,0.0018468,115.21843971631206,6.865196078431373
OL06,81226,160,0.012279900000000002,702,143,0.00019109999999999998,6154,129,0.0010004999999999999,115.70655270655271,13.19889502762431
OL07,81227,196,0.012301649999999999,703,90,0.00015945,6374,221,0.0010887,115.5433854907539,12.743489174772513
OL08,81228,19,0.0121956,92,22,0.000027,6080,19,0.0009234,882.9130434782609,13.359868421052632
OL09,81227,186,0.012295649999999998,781,59,0.00015255,8827,154,0.00141645,104.00384122919334,9.202107171179335
OL10,81231,370,0.01240665,785,62,0.00015495,7565,216,0.0012643499999999998,103.47898089171974,10.73773959021811
