question_id,accuracy_a,accuracy_b,accuracy_delta_b_vs_a,hallucination_a,hallucination_b,latency_a,latency_b,tokens_in_a,tokens_in_b,context_chars_a,context_chars_b,ccr_context_chars_b,ccr_tokens_est_b,accuracy_c,accuracy_delta_c_vs_a,accuracy_delta_c_vs_b,hallucination_c,latency_c,tokens_in_c,context_chars_c,ccr_context_chars_c,ccr_tokens_est_c
OL01,1,1,0,true,true,15649,6308,76662,10770,400000,33945,11.783767859773162,11.782726522917404,3,2,2,false,8322,7937,35581,11.241954975970321,11.241007194244604
OL02,1,3,2,false,false,4051,2274,76664,8468,400000,26804,14.923145799134458,14.923145799134458,3,2,0,false,1725,8479,35959,11.123779860396564,11.123470522803114
OL03,0,1,1,true,false,2096,1803,76664,1806,400000,7075,56.53710247349823,56.52911249293386,3,3,2,false,9189,13347,56459,7.084787190704759,7.0846617074034715
OL04,1,3,2,false,false,2647,1624,76666,12209,400000,38685,10.339925035543493,10.339123242349048,3,2,0,false,1778,9393,38709,10.333514169831306,10.332713370531101
OL05,0,2,2,false,true,2450,3468,76664,1448,400000,5835,68.55184233076264,68.54009595613434,2,2,0,true,6589,7241,29693,13.471188495605025,13.469827586206897
OL06,0,2,2,false,false,2184,10752,76661,2180,400000,8174,48.93564962074871,48.923679060665364,2,2,0,false,12255,13568,59096,6.768647624204684,6.768647624204684
OL07,0,2,2,false,true,2097,15729,76662,13669,400000,44808,8.926977325477594,8.926977325477594,2,2,0,true,3449,5862,26068,15.344483658124904,15.344483658124904
OL08,1,1,0,false,false,2038,975,76663,1643,400000,6462,61.90034045187249,61.881188118811885,1,0,0,false,6317,6141,30072,13.301409949454643,13.301409949454643
OL09,0,3,3,false,false,1764,2278,76662,7800,400000,26130,15.308075009567547,15.30690341343946,2,2,-1,false,2996,9012,36877,10.846869322341838,10.845986984815617
OL10,1,3,2,false,false,7346,3276,76666,6296,400000,19948,20.052135552436333,20.052135552436333,3,2,0,false,3526,7521,31184,12.827090815802975,12.827090815802975
