question_id,accuracy_a,accuracy_b,accuracy_delta_b_vs_a,hallucination_a,hallucination_b,latency_a,latency_b,tokens_in_a,tokens_in_b,context_chars_a,context_chars_b,ccr_context_chars_b,ccr_tokens_est_b
OL01,,2,,,false,,3880,,10848,,34182,,
OL02,,3,,,false,,1334,,8546,,27041,,
OL03,,1,,,false,,1303,,1806,,7075,,
OL04,,3,,,false,,1371,,12287,,38922,,
OL05,,3,,,false,,3600,,1656,,6528,,
OL06,,2,,,true,,2507,,2388,,8867,,
OL07,,3,,,false,,12156,,13955,,45738,,
OL08,,1,,,false,,880,,1851,,7155,,
OL09,,3,,,false,,2639,,7800,,26130,,
OL10,,3,,,false,,2006,,6296,,19948,,
OL11,,3,,,false,,2786,,5489,,17598,,
OL12,,2,,,false,,1128,,7802,,26130,,
OL13,,3,,,false,,3016,,14402,,47081,,
OL14,,2,,,false,,1083,,2195,,8159,,
OL15,,3,,,false,,1844,,3192,,12772,,
OL16,,3,,,false,,3985,,13822,,45271,,
OL17,,3,,,false,,1278,,3261,,12998,,
OL18,,3,,,false,,1286,,2627,,8901,,
OL19,,2,,,false,,2067,,4138,,15083,,
OL20,,3,,,false,,1154,,2626,,8901,,
